popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
60,0.896,0.726,214547,0.177,2.14e-06,0.116,-14.824,0.0353,92.934,0.618
63,0.00384,0.635,190448,0.908,0.0834,0.239,-4.795,0.0563,110.012,0.637
59,7.51e-05,0.352,456320,0.956,0.0203,0.125,-3.634,0.149,122.897,0.228
54,0.945,0.488,352280,0.326,0.0157,0.119,-12.02,0.0328,106.063,0.323
55,0.245,0.667,273693,0.647,0.000297,0.0633,-7.787,0.0487,143.995,0.3
62,0.0108,0.743,243333,0.67,0.0702,0.22,-4.547,0.0293,110.832,0.934
58,0.00107,0.5,207173,0.836,4.03e-05,0.197,-6.165,0.0454,90.011,0.41
74,0.0764,0.686,200467,0.783,0.0,0.163,-4.977,0.119,119.9529606,0.814
64,0.00272,0.235,227296,0.86,0.0969,0.388,-2.842,0.0561,127.788,0.342
55,0.122,0.5,173773,0.854,0.0,0.0794,-5.151,0.0945,94.96,0.404
53,0.263,0.2,310933,0.434,0.0,0.117,-14.274,0.0294,83.876,0.37
61,0.608,0.673,117013,0.349,0.0,0.38,-12.414,0.0368,124.451,0.609
59,0.19,0.444,206173,0.56,0.0,0.117,-5.179,0.0267,172.224,0.34
67,0.0102,0.68,233947,0.536,0.00105,0.113,-6.669,0.0582,119.958,0.417
65,0.89,0.6,217400,0.243,0.0022,0.249,-17.085,0.0366,110.535,0.468
58,0.88,0.309,241013,0.179,0.000346,0.117,-17.077,0.0337,121.498,0.167
59,0.833,0.471,267067,0.164,0.0,0.101,-10.879,0.0324,125.242,0.17
58,0.0844,0.593,-1,0.837,0.0,0.148,-4.834,0.0302,99.947,0.569
71,0.0029,0.736,-1,0.711,0.000275,0.0948,-5.503,0.0352,112.309,0.719
59,0.00888,0.49,224960,0.951,0.00126,0.376,-3.888,0.0966,158.075,0.628
51,0.497,0.74,220427,0.816,0.0,0.195,-4.764,0.0765,91.91,0.963
50,1.5e-05,0.543,218973,0.866,0.0298,0.32,-4.812,0.0399,137.946,0.321
57,0.0837,0.498,175547,0.639,4.61e-05,0.194,-6.04,0.0328,119.9529606,0.18
56,0.00463,0.469,207967,0.854,0.0,0.344,-5.03,0.164,186.061,0.559
50,0.00328,0.522,141133,0.889,0.0,0.345,-4.137,0.0461,144.499,0.852
51,0.0691,0.557,-1,0.61,0.0117,0.341,-9.899,0.111,155.966,0.128
59,0.144,0.613,285467,0.531,3.74e-06,0.801,-9.172,0.0338,152.023,0.338
66,0.173,0.589,212827,0.844,0.0,0.076,-3.925,0.0626,81.945,0.562
62,0.000326,0.499,205440,0.958,2.19e-06,0.432,-5.417,0.0898,127.491,0.359
55,0.0295,0.542,185907,0.766,0.0802,0.396,-5.411,0.0282,88.062,0.643
60,0.0847,0.407,349187,0.424,0.0,0.234,-10.583,0.0318,113.311,0.404
62,0.0904,0.395,234973,0.538,0.000453,0.0685,-10.3,0.0456,150.785,0.369
61,0.796,0.459,268530,0.317,0.0,0.126,-6.856,0.0279,137.748,0.297
64,0.412,0.652,163600,0.583,0.0,0.119,-7.811,0.038,119.9529606,0.744
63,0.0105,0.359,563893,0.762,0.281,0.368,-8.323,0.032,89.259,0.167
